介護保険給付状況の推移,,,,
,,,,各年度末現在
年度,総額（円）,居宅サービス費（円）,施設サービス費（円）,地域密着型サービス費（円）
2012,"9,027,593,759","4,917,997,527","3,417,756,247","691,839,985"
2013,"9,465,404,087","5,271,469,906","3,405,863,424","788,070,757"
2014,"9,983,589,134","5,612,097,563","3,495,570,074","875,921,497"
2015,"10,217,337,947","5,755,447,895","3,583,235,178","878,654,874"
2016,"10,229,952,345","5,379,262,743","3,522,126,825","1,328,562,777"
2017,"10,560,390,865","5,552,003,991","3,672,831,868","1,335,555,006"
2018,"11,091,050,733","5,856,242,410","3,892,998,301","1,341,810,022"
2019,"11,314,243,659","5,969,570,690","3,951,811,909","1,392,861,060"
2020,"11,515,114,002","6,111,061,441","4,011,252,965","1,392,799,596"
2021,"11,963,494,164","6,310,519,834","4,144,035,346","1,508,938,984"
2022,"12,089,388,278","6,401,194,485","4,204,598,859","1,483,594,934"
2023,"12,714,555,458","6,759,702,994","4,342,518,233","1,612,334,231"
,,,,
資料：福祉保健部介護保険課「介護保険事業状況報告」介護保険給付決定状況の給付費より,,,,
