介護保険料（現年分）収入状況の推移,,,,
,,,,各年度末現在
年度,調定額（円）,収入額（円）,未収額（円）,収入率（%）
2012,"2,201,428,300","2,156,936,200","46,693,500",98
2013,"2,288,884,600","2,247,935,700","45,135,700",98.2
2014,"2,375,829,300","2,335,859,290","43,170,410",98.3
2015,"2,941,309,000","2,892,466,660","52,637,340",98.3
2016,"3,015,276,400","2,967,253,900","53,154,200",98.4
2017,"3,066,182,700","3,023,136,000","48,383,200",98.6
2018,"3,094,398,500","3,058,305,600","41,313,600",98.8
2019,"3,048,560,500","3,015,823,400","39,200,000",98.9
2020,"2,983,301,800","2,958,623,000","31,320,000",99.2
2021,"2,986,449,900","2,964,357,300","30,529,300",99.3
2022,"3,013,520,800","2,990,866,900","28,888,100",99.2
2023,"3,021,230,900","3,000,481,600","26,084,800",99.3
,,,,
資料：福祉保健部介護保険課,,,,
注：収入額には還付未済分を含む。,,,,
