要介護 （要支援） 認定状況の推移,,,,,,,,,,,,
,,,,,,,,,,,,
要介護 （要支援） 認定者数,,,,,,,,,各年度末現在,,,
区分,2012年度,2013年度,2014年度,2015年度,2016年度,2017年度,2018年度,2019年度,2020年度,2021年度,2022年度,2023年度
総数 （Ａ）（人）,"6,660","7,079","7,530","7,741","7,933","8,243","8,429","8,639","8,827","8,978",9087,9226
うち第2号被保険者（人）,198,187,186,177,199,186,204,206,204,216,211,232
要支援１（人）,"1,292","1,387","1,522","1,546","1,499","1,623","1,717","1,749","1,743","1,733",1628,1501
要支援２（人）,703,801,865,882,825,895,924,958,938,942,1004,1092
要介護１（人）,"1,469","1,621","1,753","1,825","1,993","2,002","2,036","2,095","2,196","2,258",2278,2296
要介護２（人）,972,965,"1,018","1,050","1,104","1,120","1,158","1,221","1,235","1,219",1215,1298
要介護３（人）,796,830,874,889,924,979,997,"1,044","1,100","1,146",1146,1174
要介護４（人）,808,832,855,916,936,"1,005","1,000",968,"1,048","1,114",1183,1172
要介護５（人）,620,643,643,633,652,619,597,604,567,566,633,693
第１号被保険者（Ｂ）（人）,"38,706","40,083","41,409","42,419","43,305","43,799","44,332","44,747","44,946","45,088","45,156","45,209"
認定者割合（Ａ/Ｂ）（％）,17.2,17.7,18.2,18.2,18.3,18.8,19,19.3,19.6,19.9,20.1,20.4
,,,,,,,,,,,,
資料：福祉保健部介護保険課,,,,,,,,,,,,
注：各年度末の認定結果保有者数（非該当者を除く）,,,,,,,,,,,,
注2：認定者割合＝総数÷第1号被保険者,,,,,,,,,,,,
