介護保険第1号被保険者の推移,,,,
,,,,各年度末現在
年度,世帯数（世帯）,被保険者総数（人）,被保険者（65歳～74歳）（人）,被保険者（75歳以上）（人）
2012,"28,196","38,706","21,247","17,459"
2013,"29,114","40,083","21,965","18,118"
2014,"30,001","41,409","22,475","18,934"
2015,"30,624","42,419","22,638","19,781"
2016,"31,274","43,305","22,391","20,914"
2017,"31,698","43,799","22,125","21,674"
2018,"32,173","44,332","21,682","22,650"
2019,"32,512","44,747","21,570","23,177"
2020,"32,742","44,946","21,555","23,391"
2021,"32,920","45,088","20,974","24,114"
2022,33050,45156,19970,25186
2023,33245,45209,19192,26017
,,,,
資料：福祉保健部介護保険課,,,,
