介護サービス別給付件数及び給付額の推移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,各年度末現在
年度,訪問介護件数（件）,訪問介護給付額（円）,訪問入浴介護件数（件）,訪問入浴介護給付額（円）,訪問看護件数（件）,訪問看護給付額（円）,訪問リハビリテーション件数（件）,訪問リハビリテーション給付額（円）,居宅療養管理指導件数（件）,居宅療養管理指導給付額（円）,通所介護件数（件）,通所介護給付額（円）,通所リハビリテーション件数（件）,通所リハビリテーション給付額（円）,短期入所生活介護件数（件）,短期入所生活介護給付額（円）,短期入所療養介護（老健）件数（件）,短期入所療養介護（老健）給付額（円）,福祉用具貸与件数（件）,福祉用具貸与給付額（円）,福祉用具購入費購入費件数（件）,福祉用具購入費給付額（円）,住宅改修費件数（件）,住宅改修費給付額（円）,特定施設入居者生活介護件数（件）,特定施設入居者生活介護給付額（円）,居宅介護支援件数（件）,居宅介護支援給付額（円）,定期巡回・随時対応型訪問介護看護件数（件）,定期巡回・随時対応型訪問介護看護給付額（円）,夜間対応型訪問介護件数（件）,夜間対応型訪問介護給付額（円）,地域密着型通所介護件数（件）,地域密着型通所介護給付額（円）,認知症対応型通所介護件数（件）,認知症対応型通所介護給付額（円）,小規模多機能型居宅介護件数（件）,小規模多機能型居宅介護給付額（円）,認知症対応型共同生活介護件数（件）,認知症対応型共同生活介護給付額（円）,地域密着型介護老人福祉施設入所者生活介護件数（件）,地域密着型介護老人福祉施設入所者生活介護給付額（円）,看護小規模多機能型居宅介護（件数）,看護小規模多機能型居宅介護（円）,介護老人福祉施設件数（件）,介護老人福祉施設給付額（円）,介護老人保健施設件数（件）,介護老人保健施設給付額（円）,介護療養型医療施設件数（件）,介護療養型医療施設給付額（円）,介護医務院（件数）,介護医務院（円）
2012,"25,275","1,137,150,945","1,726","98,342,454","8,928","331,354,927",357,"9,756,307","14,944","133,298,787","22,244","1,193,093,302","4,457","287,883,973","3,371","236,319,595",713,"55,482,037","23,174","293,241,383",696,"17,910,290",476,"42,101,965","3,176","565,407,809","44,620","516,653,753",-,-,217,"4,899,931",-,-,"2,174","212,280,613",371,"62,949,062","1,310","330,202,124",346,"81,508,255",,-,"7,159","1,798,719,046","5,067","1,323,867,129",833,"295,170,072",-,-
2013,"26,145","1,155,806,462","1,660","96,665,240","9,689","367,718,890",328,"9,474,764","18,375","163,881,203","24,633","1,337,512,538","4,850","316,746,438","3,576","242,786,135",767,"56,140,028","26,044","336,426,331",774,"19,454,112",528,"42,883,963","3,268","572,462,948","48,454","553,510,854",566,"76,355,192",145,"2,497,847",-,-,"2,199","230,118,560",392,"61,063,756","1,326","334,584,327",346,"83,451,075",-,-,"7,589","1,918,575,650","4,815","1,278,051,150",599,"209,236,624",-,-
2014,"27,107","1,155,406,896","1,439","89,472,657","10,228","400,765,956",319,"10,321,864","21,329","187,300,242","27,503","1,482,722,184","5,151","347,579,399","3,697","259,952,430",807,"62,107,522","27,991","365,463,500",698,"18,545,912",488,"38,088,694","3,406","603,353,853","52,517","591,016,454",965,"131,525,401",186,"2,506,277",-,-,"2,441","249,820,674",408,"60,986,040","1,340","341,072,882",374,"90,010,223",-,-,"7,637","1,943,405,816","4,943","1,334,589,949",605,"217,574,309",-,-
2015,"27,177","1,160,689,236","1,468","91,143,826","11,140","417,632,267",349,"11,669,189","24,781","208,066,008","29,669","1,471,467,947","5,153","340,353,532","3,627","254,954,756",799,"61,250,086","30,000","383,088,334",607,"17,536,930",482,"39,501,518","3,928","673,772,544","54,835","624,321,722",942,"131,975,956",183,"2,993,297",-,-,"2,368","234,515,088",368,"57,450,346","1,365","334,267,105",510,"117,453,082",-,-,"7,724","1,913,692,376","5,271","1,413,932,622",706,"255,610,180",-,-
2016,"23,342","1,088,436,736","1,416","84,603,269","12,008","454,044,029",384,"12,228,837","26,627","218,096,214","20,977","1,103,433,014","5,205","340,098,364","3,649","258,094,702",700,"50,562,505","31,878","405,345,996",659,"18,755,553",426,"35,718,353","4,028","689,629,913","51,971","620,215,258",786,"113,057,701",150,"1,904,247","6,427","390,867,157","2,363","238,276,520",352,"60,281,709","1,429","357,468,499",687,"166,706,944",-,-,"7,831","1,907,240,032","5,034","1,358,698,820",702,"256,187,973",-,-
2017,"19,715","1,047,750,571","1,517","92,514,851","13,588","520,871,525",434,"14,196,139","29,534","235,439,203","17,139","1,071,669,610","5,480","358,189,639","3,768","268,490,212",763,"51,552,533","34,132","433,644,957",655,"17,457,310",495,"41,199,954","4,476","770,003,947","49,078","629,023,540",727,"106,538,733",148,"1,935,800","6,516","397,700,031","2,402","242,781,522",352,"58,969,611","1,407","357,019,242",695,"170,609,767",-,-,"7,908","1,948,958,035","5,450","1,491,115,886",637,"232,757,947",-,-
2018,"19,636","1,037,472,485","1,547","92,073,790","14,474","576,642,406",652,"20,784,203","33,674","266,321,035","17,724","1,111,175,188","5,462","353,223,765","4,034","296,925,249",738,"54,894,091","36,401","455,863,915",658,"18,570,278",443,"35,432,522","5,190","890,303,752","50,548","646,559,731",636,"90,767,113",93,"1,400,499","6,393","371,352,532","2,157","210,189,914",548,"93,725,866","1,583","397,880,723",700,"176,493,375",-,-,"8,033","2,023,796,874","5,855","1,645,649,409",616,"223,552,018",0,0
2019,"19,396","1,018,790,529","1,374","86,797,021","14,990","591,285,984",682,"21,440,071","35,659","284,928,366","17,937","1,141,889,107","5,414","341,204,131","3,815","267,987,975",776,"62,420,900","37,705","473,685,756",653,"18,424,522",405,"30,944,948","5,656","970,679,678","51,719","659,091,702",567,"81,736,183",94,"1,445,754","7,007","392,043,412","2,038","206,386,817",601,"108,695,951","1,599","413,701,496",701,"179,180,557",49,"9,670,890","8,409","2,145,246,697","5,716","1,643,613,512",431,"152,149,581",29,"10,802,119"
